0.33
test acc for dataset 1 0.705
0.255
test acc for dataset 2 0.782
         1404536 function calls (1400437 primitive calls) in 5.045 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 arrayprint.py:711(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:731(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:761(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:772(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:789(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:810(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:837(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:847(StructureFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:229(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:266(NodeTransformer)
        8    0.000    0.000    0.000    0.000 ast.py:30(parse)
        8    0.000    0.000    0.001    0.000 ast.py:40(literal_eval)
     68/8    0.000    0.000    0.001    0.000 ast.py:51(_convert)
       32    0.000    0.000    0.001    0.000 ast.py:65(<genexpr>)
        1    0.000    0.000    0.004    0.004 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:18(SparseWarning)
        1    0.000    0.000    0.000    0.000 base.py:22(SparseFormatWarning)
        1    0.000    0.000    0.000    0.000 base.py:26(SparseEfficiencyWarning)
        1    0.000    0.000    0.000    0.000 base.py:64(spmatrix)
        1    0.000    0.000    0.000    0.000 basic.py:1043(LstsqLapackError)
        1    0.001    0.001    0.006    0.006 basic.py:5(<module>)
        1    0.000    0.000    0.007    0.007 basic.py:7(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.011    0.011 blas.py:202(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:24(bsr_matrix)
        1    0.000    0.000    0.000    0.000 byteordercodes.py:7(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:32(BZ2File)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
        1    0.000    0.000    0.013    0.013 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:128(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1316(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1338(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:137(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1396(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:184(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:221(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:278(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:297(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2036(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
        1    0.000    0.000    0.002    0.002 compressed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compressed.py:22(_cs_matrix)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        1    0.000    0.000    0.030    0.030 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:14(ProcessError)
        1    0.000    0.000    0.000    0.000 context.py:17(BufferTooShort)
        1    0.000    0.000    0.000    0.000 context.py:20(TimeoutError)
        1    0.000    0.000    0.000    0.000 context.py:202(reducer)
        1    0.000    0.000    0.000    0.000 context.py:219(Process)
        1    0.000    0.000    0.000    0.000 context.py:225(DefaultContext)
        1    0.000    0.000    0.000    0.000 context.py:228(__init__)
        1    0.000    0.000    0.000    0.000 context.py:23(AuthenticationError)
       37    0.000    0.000    0.000    0.000 context.py:264(<genexpr>)
        1    0.000    0.000    0.000    0.000 context.py:272(ForkProcess)
        1    0.000    0.000    0.000    0.000 context.py:279(SpawnProcess)
        1    0.000    0.000    0.000    0.000 context.py:286(ForkServerProcess)
        1    0.000    0.000    0.000    0.000 context.py:293(ForkContext)
        1    0.000    0.000    0.000    0.000 context.py:297(SpawnContext)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 context.py:301(ForkServerContext)
        1    0.000    0.000    0.000    0.000 context.py:40(cpu_count)
        6    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coo.py:22(coo_matrix)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1001(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:1021(__init__)
        1    0.000    0.000    0.000    0.000 core.py:1153(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1174(__init__)
        4    0.000    0.000    0.000    0.000 core.py:124(doc_note)
       43    0.000    0.000    0.002    0.000 core.py:143(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:160(MAError)
        1    0.000    0.000    0.000    0.000 core.py:168(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:200(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:202(<listcomp>)
        1    0.000    0.000    0.004    0.004 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2400(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2406(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2569(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2617(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2731(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:6046(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6248(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:6255(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6258(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:6361(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6370(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6482(_frommethod)
       26    0.000    0.000    0.001    0.000 core.py:6493(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6498(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7960(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7973(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7978(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:826(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:835(__init__)
        1    0.000    0.000    0.000    0.000 core.py:851(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:859(__init__)
        1    0.000    0.000    0.000    0.000 core.py:869(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:875(__init__)
        1    0.000    0.000    0.000    0.000 core.py:890(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:896(__init__)
        1    0.000    0.000    0.000    0.000 core.py:906(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:912(__init__)
        1    0.000    0.000    0.000    0.000 core.py:922(_MaskedUnaryOperation)
        1    0.000    0.000    0.000    0.000 core.py:93(MaskedArrayFutureWarning)
       27    0.000    0.000    0.000    0.000 core.py:940(__init__)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:19(csc_matrix)
        1    0.000    0.000    0.005    0.005 csr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csr.py:23(csr_matrix)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       18    0.000    0.000    0.000    0.000 data.py:130(_create_method)
        1    0.000    0.000    0.000    0.000 data.py:156(_minmax_mixin)
        1    0.000    0.000    0.000    0.000 data.py:21(_data_matrix)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1024(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1049(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1361(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1369(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1961(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:1984(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:262(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:279(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:309(_check_tzinfo_arg)
        1    0.001    0.001    0.001    0.001 datetime.py:337(timedelta)
        9    0.000    0.000    0.001    0.000 datetime.py:356(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:531(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:659(date)
        2    0.000    0.000    0.000    0.000 datetime.py:689(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:954(tzinfo)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        5    0.000    0.000    0.000    0.000 decorator.py:152(update)
        5    0.000    0.000    0.000    0.000 decorator.py:169(make)
        5    0.000    0.000    0.000    0.000 decorator.py:177(<listcomp>)
        5    0.000    0.000    0.001    0.000 decorator.py:202(create)
       10    0.000    0.000    0.000    0.000 decorator.py:220(<genexpr>)
        3    0.000    0.000    0.001    0.000 decorator.py:225(decorate)
        2    0.000    0.000    0.000    0.000 decorator.py:240(decorator)
        1    0.000    0.000    0.000    0.000 decorator.py:279(ContextManager)
        1    0.000    0.000    0.002    0.002 decorator.py:33(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:48(get_init)
        1    0.000    0.000    0.000    0.000 decorator.py:85(FunctionMaker)
        5    0.000    0.000    0.001    0.000 decorator.py:95(__init__)
        1    0.000    0.000    0.024    0.024 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:174(matrix)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dia.py:18(dia_matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1707(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        1    0.000    0.000    0.005    0.005 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:178(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:416(Bytecode)
       55    0.000    0.000    0.000    0.000 distance.py:1685(<genexpr>)
        1    0.000    0.000    0.000    0.000 distance.py:1691(<dictcomp>)
        1    0.000    0.000    0.005    0.005 distance.py:73(<module>)
        8    0.001    0.000    0.002    0.000 doccer.py:12(docformat)
       17    0.001    0.000    0.002    0.000 doccer.py:179(indentcount_lines)
        1    0.000    0.000    0.000    0.000 doccer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 doccer.py:204(filldoc)
        8    0.000    0.000    0.002    0.000 doccer.py:224(decorate)
        1    0.000    0.000    0.000    0.000 doccer.py:230(unindent_dict)
        9    0.000    0.000    0.000    0.000 doccer.py:238(unindent_string)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dok.py:30(dok_matrix)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
       13    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        8    0.000    0.000    0.001    0.000 enum.py:114(__prepare__)
        8    0.002    0.000    0.007    0.001 enum.py:124(__new__)
        8    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        8    0.001    0.000    0.002    0.000 enum.py:160(<setcomp>)
       24    0.000    0.000    0.000    0.000 enum.py:181(<genexpr>)
      104    0.000    0.000    0.001    0.000 enum.py:20(_is_descriptor)
     2270    0.004    0.000    0.017    0.000 enum.py:267(__call__)
      123    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        8    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
        7    0.000    0.000    0.000    0.000 enum.py:337(__members__)
      158    0.001    0.000    0.001    0.000 enum.py:353(__setattr__)
      123    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        7    0.000    0.000    0.010    0.001 enum.py:366(_create_)
       23    0.000    0.000    0.001    0.000 enum.py:419(_get_mixins_)
        8    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
     2263    0.003    0.000    0.003    0.000 enum.py:517(__new__)
       70    0.000    0.000    0.000    0.000 enum.py:594(name)
        4    0.000    0.000    0.000    0.000 enum.py:599(value)
        7    0.000    0.000    0.024    0.003 enum.py:604(_convert)
        7    0.002    0.000    0.013    0.002 enum.py:625(<listcomp>)
       99    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
        8    0.000    0.000    0.000    0.000 enum.py:65(__init__)
      123    0.001    0.000    0.003    0.000 enum.py:70(__setitem__)
        4    0.000    0.000    0.001    0.000 enum.py:760(_missing_)
        4    0.000    0.000    0.001    0.000 enum.py:767(_create_pseudo_member_)
       83    0.000    0.000    0.001    0.000 enum.py:797(__or__)
     1043    0.004    0.000    0.012    0.000 enum.py:803(__and__)
       19    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
        4    0.000    0.000    0.001    0.000 enum.py:839(_decompose)
        1    0.000    0.000    0.000    0.000 enum.py:850(<listcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:857(<listcomp>)
       15    0.000    0.000    0.000    0.000 enum.py:868(<lambda>)
       25    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
        1    0.000    0.000    0.000    0.000 extract.py:2(<module>)
        1    0.001    0.001    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1453(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1478(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1494(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:218(_fromnxfunction)
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:273(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:291(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:304(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:329(_fromnxfunction_allargs)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.005    0.005 fitpack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1064(LSQBivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1131(RectBivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1217(SphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1299(SmoothSphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1391(LSQSphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1525(RectSphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:521(InterpolatedUnivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:629(LSQUnivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:7(<module>)
        1    0.000    0.000    0.000    0.000 fitpack2.py:70(UnivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:768(_BivariateSplineBase)
        1    0.000    0.000    0.000    0.000 fitpack2.py:918(BivariateSpline)
        1    0.000    0.000    0.000    0.000 fitpack2.py:999(SmoothBivariateSpline)
        1    0.000    0.000    0.001    0.001 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        8    0.000    0.000    0.000    0.000 format.py:171(_check_version)
        8    0.000    0.000    0.000    0.000 format.py:201(read_magic)
        8    0.001    0.000    0.039    0.005 format.py:425(_filter_header)
        8    0.000    0.000    0.042    0.005 format.py:463(_read_array_header)
        8    0.000    0.000    0.000    0.000 format.py:503(<listcomp>)
        8    0.000    0.000    0.043    0.005 format.py:595(read_array)
       24    0.000    0.000    0.000    0.000 format.py:797(_read_bytes)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:1973(all)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:2527(vectorize)
        2    0.000    0.000    0.000    0.000 function_base.py:2679(__init__)
      275    0.003    0.000    0.008    0.000 function_base.py:4519(add_newdoc)
       32    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
        2    0.000    0.000    0.000    0.000 functools.py:448(lru_cache)
        2    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
       30    0.000    0.000    0.000    0.000 functools.py:74(wraps)
        2    0.000    0.000    0.000    0.000 getlimits.py:100(_str_xmax)
        2    0.000    0.000    0.000    0.000 getlimits.py:104(_str_resolution)
       10    0.000    0.000    0.000    0.000 getlimits.py:18(_fr0)
        2    0.000    0.000    0.000    0.000 getlimits.py:251(_get_machar)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.001    0.001    0.002    0.002 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:305(finfo)
        4    0.000    0.000    0.001    0.000 getlimits.py:376(__new__)
        2    0.000    0.000    0.001    0.000 getlimits.py:409(_init)
        1    0.000    0.000    0.000    0.000 getlimits.py:455(iinfo)
        5    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:532(max)
        1    0.000    0.000    0.000    0.000 getlimits.py:62(MachArLike)
        6    0.001    0.000    0.001    0.000 getlimits.py:65(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
       30    0.000    0.000    0.001    0.000 getlimits.py:70(<lambda>)
       10    0.000    0.000    0.000    0.000 getlimits.py:71(<lambda>)
        2    0.000    0.000    0.000    0.000 getlimits.py:88(_str_eps)
        2    0.000    0.000    0.000    0.000 getlimits.py:92(_str_epsneg)
        2    0.000    0.000    0.000    0.000 getlimits.py:96(_str_xmin)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.004    0.004 hashlib.py:54(<module>)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 hb.py:11(<module>)
        1    0.000    0.000    0.000    0.000 hb.py:34(MalformedHeader)
        1    0.000    0.000    0.000    0.000 hb.py:364(HBMatrixType)
        1    0.000    0.000    0.000    0.000 hb.py:38(LineOverflow)
        1    0.000    0.000    0.000    0.000 hb.py:385(<listcomp>)
        1    0.000    0.000    0.000    0.000 hb.py:386(<listcomp>)
        1    0.000    0.000    0.000    0.000 hb.py:387(<listcomp>)
        1    0.000    0.000    0.000    0.000 hb.py:425(HBFile)
        1    0.000    0.000    0.000    0.000 hb.py:48(HBInfo)
        1    0.000    0.000    0.000    0.000 helper.py:230(_FFTCache)
        2    0.000    0.000    0.000    0.000 helper.py:251(__init__)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1810(Hermite)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1807(HermiteE)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 idl.py:148(Pointer)
        1    0.000    0.000    0.000    0.000 idl.py:156(ObjectPointer)
        1    0.000    0.000    0.000    0.000 idl.py:30(<module>)
        1    0.000    0.000    0.000    0.000 idl.py:645(AttrDict)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 index_tricks.py:159(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:231(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 index_tricks.py:241(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:356(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:451(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:456(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:481(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:486(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:536(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:614(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:658(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:98(nd_grid)
        1    0.000    0.000    0.000    0.000 info.py:156(<module>)
        1    0.000    0.000    0.000    0.000 info.py:184(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 info.py:86(<module>)
        4    0.000    0.000    0.001    0.000 inspect.py:1087(getfullargspec)
       12    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        4    0.000    0.000    0.000    0.000 inspect.py:2100(_signature_from_function)
        4    0.000    0.000    0.000    0.000 inspect.py:2181(_signature_from_callable)
        1    0.000    0.000    0.000    0.000 inspect.py:2382(_void)
        1    0.000    0.000    0.000    0.000 inspect.py:2386(_empty)
        1    0.000    0.000    0.000    0.000 inspect.py:2390(_ParameterKind)
        1    0.000    0.000    0.000    0.000 inspect.py:2418(Parameter)
       11    0.000    0.000    0.000    0.000 inspect.py:2450(__init__)
       22    0.000    0.000    0.000    0.000 inspect.py:2500(name)
       13    0.000    0.000    0.000    0.000 inspect.py:2504(default)
       11    0.000    0.000    0.000    0.000 inspect.py:2508(annotation)
       11    0.000    0.000    0.000    0.000 inspect.py:2512(kind)
        1    0.000    0.000    0.000    0.000 inspect.py:2570(BoundArguments)
        1    0.000    0.000    0.015    0.015 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2700(Signature)
        4    0.000    0.000    0.000    0.000 inspect.py:2730(__init__)
       15    0.000    0.000    0.000    0.000 inspect.py:2779(<genexpr>)
        4    0.000    0.000    0.000    0.000 inspect.py:2809(parameters)
        4    0.000    0.000    0.000    0.000 inspect.py:2813(return_annotation)
        2    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
        1    0.000    0.000    0.000    0.000 inspect.py:878(EndOfBlock)
        1    0.000    0.000    0.000    0.000 inspect.py:880(BlockFinder)
        1    0.000    0.000    0.000    0.000 interpolate.py:107(interp2d)
        1    0.000    0.000    0.000    0.000 interpolate.py:1332(BPoly)
        1    0.000    0.000    0.000    0.000 interpolate.py:1877(NdPPoly)
        1    0.000    0.000    0.192    0.192 interpolate.py:2(<module>)
        1    0.000    0.000    0.000    0.000 interpolate.py:2306(RegularGridInterpolator)
        1    0.000    0.000    0.000    0.000 interpolate.py:2672(_ppform)
        1    0.000    0.000    0.000    0.000 interpolate.py:345(interp1d)
        1    0.000    0.000    0.000    0.000 interpolate.py:704(_PPolyBase)
        1    0.000    0.000    0.000    0.000 interpolate.py:927(PPoly)
        1    0.000    0.000    0.000    0.000 kdtree.py:176(KDTree)
        1    0.000    0.000    0.000    0.000 kdtree.py:244(node)
        1    0.000    0.000    0.000    0.000 kdtree.py:261(leafnode)
        1    0.000    0.000    0.000    0.000 kdtree.py:266(innernode)
        1    0.000    0.000    0.030    0.030 kdtree.py:3(<module>)
        1    0.000    0.000    0.000    0.000 kdtree.py:77(Rectangle)
        1    0.000    0.000    0.000    0.000 laguerre.py:1760(Laguerre)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 lambertw.py:1(<module>)
        1    0.000    0.000    0.056    0.056 lapack.py:544(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1790(Legendre)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.001    0.001 lil.py:2(<module>)
        1    0.000    0.000    0.000    0.000 lil.py:22(lil_matrix)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:43(LinAlgError)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
        1    0.000    0.000    0.007    0.007 linecache.py:6(<module>)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:23(_FailedTest)
        1    0.000    0.000    0.000    0.000 loader.py:66(TestLoader)
        1    0.000    0.000    0.000    0.000 loader.py:76(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.002    0.002 lzma.py:9(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:17(MachAr)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.008    0.008 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:49(TestProgram)
        1    0.000    0.000    0.003    0.003 matfuncs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:20(memmap)
        1    0.000    0.000    0.219    0.219 mio.py:3(<module>)
        1    0.000    0.000    0.001    0.001 mio4.py:2(<module>)
        1    0.000    0.000    0.000    0.000 mio4.py:304(MatFile4Reader)
        1    0.000    0.000    0.000    0.000 mio4.py:449(VarWriter4)
        1    0.000    0.000    0.000    0.000 mio4.py:587(MatFile4Writer)
        1    0.000    0.000    0.000    0.000 mio4.py:80(VarHeader4)
        1    0.000    0.000    0.000    0.000 mio4.py:98(VarReader4)
        1    0.000    0.000    0.000    0.000 mio5.py:110(MatFile5Reader)
        1    0.000    0.000    0.000    0.000 mio5.py:403(EmptyStructMarker)
